CourseID,CourseName,Credits,Description
26,Transport Processes in ABE,3,"Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment. Credit is not given for both ABE 341 and CHBE 421. Prerequisite: ABE 227 and ABE 228."
27,Functional Analysis and Design of Agricultural Machine Systems,3,"Design and development concepts of agricultural machines; analysis and synthesis of tillage, planting, harvesting, chemical application, material handling mechanisms, and precision farming tools. Prerequisite: TAM 212."
28,Independent Study,1,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor."
29,Engrg Measurement Systems,4,"Principles of instrumentation systems, including sensing, signal conditioning, computerized data acquisition, test design, data analysis and synthesis. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 425 and ME 360. Prerequisite: ECE 205."
30,Engineering for Disaster Resilience,3,"Project-based design of resilient food, energy, and water supply chains for disaster-prone regions. Students investigate factors that provide context for specific disaster-prone regions and viable design solutions. Students quantify reliability and resilience of potential solutions, work with communities, aid organizations, and peer institutions identifying designs, eventually seeking pathways to implement solutions. Students will emerge with skills for managing such projects, collaborating closely with communities where local factors have impacts on sustainable engineering designs. 3 OR 4 undergraduate hours. 4 graduate hours. May be repeated one time by undergraduate students if the term project differs from previous term, up to total credit of 7 hrs. Not repeatable for graduate credit. Credit is not given toward graduation for: ABE 452 and ETMA 452."
31,Environmental Soil Physics,3,"Provides the theoretical basis for understanding and quantifying the physical, hydrological, geotechnical, and thermal properties of soil in relation to environmental processes. Topics include general soil properties as a porous media, particle size, soil structure and aggregation, water retention and potential, flow in saturated soil, flow in an unsaturated soil, soil temperature and heat flow, soil mechanics, infiltration, and soil-plant-water relations. 3 undergraduate hours. 3 graduate hours. Prerequisite: TAM 335 or NRES 201 or consent of instructor."
32,Capstone Design Experience,4,"Design projects which utilize principles of design, engineering analysis and functional operation of engineering systems. Projects originate from industry, nonprofit entities and federal agencies. Design teams develop concepts, evaluate alternatives, model and analyze solutions, and build and test a final product. Emphases on communication skills, technical writing, and interaction with industry representatives. 4 undergraduate hours. No graduate credit. Prerequisite: Current senior standing in an engineering major. Restricted to undergraduate students."
33,Engineering Properties of Food Materials,3,"Physical properties of foods and biological materials; properties relating to equipment design and the sensing and control of food processes; thermal, electromagnetic radiation, rheological, and other mechanical properties. 3 undergraduate hours. 3 graduate hours. Prerequisite: Restricted to Grainger Engineering Seniors or Graduate students."
34,Special Topics,1,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.
35,Graduate Seminar: Advanced Career Skills,1,"Introduction to managing time and stress, completing degree program requirements, research methods, data collection techniques, professional ethics, presentation and communication skills, and project management. Prerequisite: Restricted to ABE or ETMAS programs."
36,Advanced Contextual Design,4,"Contextual Engineering addresses the loss of infrastructure usability, sustainability, and resiliency in non-industrialized societal settings that often results from disconnects and differing objectives among stakeholders. Using case studies and technical infrastructure designs, the impacts of globalization, Western attitudes, power dynamics, and place-based knowledge are explored and applied to infrastructure design and implementation processes, particularly when serving rural societies. Application of these concepts will then be conducted for specific design efforts associated with the student's own engineering discipline."
37,Fundamentals of Accounting,3,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.
38,Accounting and Accountancy I,3,"Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course."
39,Accounting and Accountancy II,3,"Further develops the student's understanding of accrual accounting, the goals and objectives of financial reporting, the information needs of end users, the qualities of useful information, as well as the financial statements and financial statement elements. Students will analyze and record progressively more complex transactions, continuing to take the economic event from inception to reporting. Recurring themes and foundational concepts are emphasized such that students can develop intuition for accounting measurement and reporting. Credit is not given for both ACCY 202 and ACCY 200. Prerequisite: ACCY 201 or equivalent."
40,Atg Measurement &amp; Disclosure,3,"Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors."
41,Decision Making for Atg,3,"We will develop and apply a framework to better understand the specific types of accounting information managers need to make key operational and strategic decisions. Utilizing business case studies and real-world projects, the course will also develop skills in gathering, visualizing, and statistically analyzing this accounting information to inform these important decisions. Prerequisite: ACCY 202 or equivalent; BADM 210 or concurrent enrollment or equivalent; and recommend concurrent enrollment in ACCY 301 for Accountancy majors."
42,Accounting Institutions and Regulation,3,"Measurement and reporting of firm's liabilities and shareholders' equity. Topics include current liabilities, contingencies, subsequent events, bonds, leases, pensions, equity issuance and repurchase, dividends, and equity-based compensation. Prerequisite: ACCY 301 and FIN 221."
43,Accounting Control Systems,3,"Explores an important framework that highlights the vital roles accounting control systems play in shaping and implementing organizational strategy. Components of this framework include internal controls, organizational missions and values, codes of ethics, performance measurement, evaluation, and reward systems. Case studies, class discussions, group exercises, and field research projects emphasize critical reasoning, data analytics, teamwork, and written and oral communication. Prerequisite: ACCY 301 and ACCY 302."
44,Principles of Taxation,3,"Introduction to the United States federal income tax system with an emphasis on income tax determination and the taxation of property transactions. Topics include the tax environment, tax provisions relevant to businesses, employees and business owners. Projects facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent."
45,Principles of Public Policy,3,"Same as ACE 321, BADM 303, and PS 321. See PS 321."
46,Career Pathways in Accountancy,1,"Career Pathways in Accountancy is an enrichment program where you will explore accounting-related career paths, build skills for success, and connect with other Accountancy students and professionals. The goal of CPA is to accelerate students’ learning by providing experiences that connect the classroom to real-world accounting and related careers. The course is intended for students who are in the early stages of deciding their specific career path and interviewing for internships and full-time positions. Prerequisite: Restricted to Gies College of Business Accountancy and Accountancy + DS majors and/or intention to declare Accountancy major."
47,Assurance and Attestation,3,"Conceptual introduction to diverse means by which assurers improve the quality of information used by third parties for contracting purposes, with emphases on the credibility- and relevance-enhancement properties of assurers' services. Topics include the economics of assurance and attestation, and concepts including independence, risk, evidence, and control. Projects facilitate self-discovery of knowledge and development of professional skills and attitudes. 3 undergraduate hours. 3 graduate hours. Prerequisite: ACCY 304 or consent of department."
48,Advanced Financial Reporting,3,"Current authoritative accounting standards and applications to accounting practice. Topics do not represent the full range of financial reporting issues, but are selected based on relevance of the underlying business transaction, complexity of the topic, consistency of applicable standard with underlying reporting concepts, and transferability of the standard to other accounting issues. 3 undergraduate hours. 3 or 4 graduate hours. Credit is not given toward graduation for both ACCY 410 and ACCY 506 or ACCY 532. Prerequisite: ACCY 303 or consent of department."
49,Financial Accounting for Governmental and Nonprofit Entities,3,"In this Governmental and Nonprofit Accounting course, students will experience an in-depth study of governmental and nonprofit accounting practices, focusing on financial reporting, budgeting, and fund accounting. Students will gain a comprehensive understanding of the unique accounting principles and regulations applicable to the public and nonprofit sectors. By the end of the course, students will know how to create and analyze financial transactions for governmental and nonprofit entities. 3 undergraduate hours. 4 graduate hours. Credit is not given toward graduation for both ACCY 419 and ACCY 519. Prerequisite: ACCY 301 or ACCY 501 or consent of department."
50,Tax in Action - VITA,1,"Tax in Action allows students to gain hands-on experience while providing a valuable service to the community through the Internal Revenue Service’s Volunteer Income Tax Assistance (VITA) program. Students will participate in a training and certification program through the IRS VITA program and will prepare tax returns for members of the community. Students taking the course for two credit hours will serve as team leads. They will be responsible for quality review, progress of the team toward goals and deadlines, training and communication with faculty. 1 undergraduate hour. 1 OR 2 graduate hours. May be repeated in separate terms to a maximum of 2 undergraduate or 4 graduate hours. Prerequisite: ACCY 312 or ACCY 505 or consent of the department. For 1 Credit Hour Section: Restricted to Junior, Senior, or Graduate Accountancy majors. For 2 credit hour section: Restricted to Master of Accounting Science or Master of Science in Accountancy programs."
51,Advanced Income Tax Problems,3,"An introduction to U.S. federal taxation of business entities including taxable corporations and flow through entities (partnerships, Subchapter S corporations, and limited liability companies). Practical problems facilitate self-discovery of technical tax knowledge and the development of data analysis skills. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Senior standing and ACCY 312."
52,Senior Research,2,"Research and readings course for students majoring in accountancy. May be taken by students in the college honors program in partial fulfillment of the honors requirements. 2 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. Prerequisite: Cumulative grade-point average of 3.0., honors in the junior year, or consent of department; senior standing."
53,"Accounting Measurement, Reporting, and Control",2,"A managerial perspective of the nature and role of accounting in organizational measurement, reporting and control processes. Prerequisite: Enrollment in a non-accountancy masters program in business or consent of department."
54,Accounting Analysis I,2,"Addresses the conceptual framework and financial statements--balance sheet, income statement and the statement of cash flows. It also provides in-depth analysis of accounting issues related to the measurement, recognition and disclosure of current and non-current assets, and revenue recognition. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate degree program or consent of department."
55,Accounting Analysis II,2,"Measurement and reporting of firm's liabilities and shareholders' equity. Topics include contingencies, subsequent events, bonds, leases, deferred taxes, pensions, equity transactions, and earning per share. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: ACCY 501 or equivalent; enrollment in graduate degree program or consent of department."
56,Managerial Accounting,2,"Introduction to management accounting principles, as used to facilitate and align internal decisions made by managers and employees. Topics include analytical tools and techniques to address common business problems, cost information systems, budgeting, and strategic performance measurement systems. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Credit or concurrent registration in ACCY 501 or equivalent; enrollment in graduate degree program or consent of department."
57,Federal Taxation,2,Introduction to historical and conceptual as well as applied material in the accounting area of federal taxation; emphasizes the provisions of the tax law relevant to accounting measurement methods. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Credit is not given for both ACCY 505 and ACCY 312. Prerequisite: Enrollment in graduate degree program or consent of department.
58,Advanced Topics in Accounting,4,"Covers current authoritative accounting standards and applications to accounting practice. Topics include accounting for business combinations, the preparation of consolidated financial statements, and other advanced financial reporting topics. Credit is not given toward graduation for both ACCY 506 and ACCY 410 or ACCY 532. Prerequisite: ACCY 501, and credit or concurrent enrollment in ACCY 502."
59,Taxation of Business Entities,2,"This course provides an introduction to the U.S. federal income tax treatment of corporations and pass-through entities, including Subchapter S corporations, partnerships, and limited liability companies. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Credit is not given for both ACCY 507 and ACCY 451. Prerequisite: ACCY 505 or equivalent."
60,Financial Reporting Standards,4,"Stakeholders' needs for reliable and relevant information about the performance of firms, as well as managers; economic self-interests, influence managers' selection of accounting policies and financial reporting methods. This course selectively surveys both academic research and professional standards to focus on the measurement, classification and disclosure of financial transactions. Cases, class discussion and research projects emphasize independent thinking, group processes, and communication. Prerequisite: ACCY 410. Restricted to students in the BS/MAS Accountancy program or consent of department."
61,Data Analytics for Management Accounting,4,"Data analytics incorporated into management decision making, including planning, cost management, and management control system design. Focuses on developing your skills of gathering and analyzing data for internal decision making purposes. Prerequisite: Enrollment in graduate accounting degree program or consent of department."
62,Auditing &amp; Assurance Standards,4,"Role of professional and ethical standards in the conduct of auditing and assurance services and the role of auditing and assurance services in corporate governance and capital markets. This course selectively surveys both academic and professional literature to focus on the conduct of auditing and assurance services. Cases, class discussion, group projects, and data analytics using Tableau emphasize the importance of critical thinking, group processes, and communication for professional accounting practice. Real-world scenarios assist in implementing auditing standards. Prerequisite: ACCY 405 and enrollment in the BS/MS in Accountancy program or consent of department."
63,Professional Responsibility and Ethics for Accountants,3,"Covers key principles of accountants' professional responsibility in their jobs, organizations, and careers, and adopts both theoretical and practical perspectives of the role of ethics and morals within the accounting discipline. The course begins with a general overview of these key constructs and principles, including various philosophies from a variety of disciplines and cultures. Next, the course provides a historical perspective of major instances of accounting-related ""failures"" and ""successes"" in the area of professional responsibility and ethics. This historical perspective provides the underlying reasoning for many contemporary codes of conduct, ethics, and professional guidelines. A variety of experiential learning opportunities will help students explore and develop their own perspective on ethics and morals, and how these principles affect their professional roles, responsibilities, and choices."
64,Financial Statement Analysis and Valuation,2,"Examines the tools and techniques of financial statement analysis and company valuation from the perspective of investors and creditors; emphasizes theoretical and empirical properties of financial ratios as well as valuation methods used in practice. May be repeated up to 4 hours, if topics vary for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Credit is not given toward graduation for both ACCY 517 and ACCY 531. Prerequisite: ACCY 410 or concurrent enrollment; or ACCY 500 or equivalent; or ACCY 502 or equivalent; and enrollment in graduate degree program or consent of department."
65,Financial Statement Fraud,4,"Introduction to fraud examination with an emphasis on financial statement fraud. The course provides a comprehensive introduction to fraud examination. The topics addressed in the course include the unique characteristics of fraud examinations and a comparison to financial statement audits, the characteristics that should be possessed by fraud examiners, an overview of the fraud examination process, the nature and extent of fraud, an introduction to the taxonomy of financial statement frauds, techniques for evidence collection including interview techniques, Benford's law, and the development of fraud reports. Prerequisite: Enrollment in graduate accounting degree program or consent of the department. This class is restricted to MAS and MSA students: Accountancy-UIUC."
66,Governmental and Nonprofit Accounting,4,"In this Governmental and Nonprofit Accounting course, students will experience an in-depth study of governmental and nonprofit accounting practices, focusing on financial reporting, budgeting, and fund accounting. Students will gain a comprehensive understanding of the unique accounting principles and regulations applicable to the public and non-profit sectors. Students will take a deep dive into specialized areas within nonprofit and governmental accounting. This course will emphasize advanced research using various knowledgebase sources, and critical analysis. Additionally, this course involves more independent research and will require students to apply the knowledge gained in this course. By the end of the course, students will know how to create and analyze financial transactions for governmental and nonprofit entities. Credit is not given toward graduation for both ACCY 419 and ACCY 519. Prerequisite: ACCY 501 or consent of department. Restricted to students enrolled in the online Master of Science in Accountancy (iMSA) program."
67,Multistate Taxation,2,"Will examine state and local tax laws prevalent in the United States today. The course will consider the historical progression of state and local taxation, the power of states to tax (and the limitations on that power), and planning strategies for minimizing the impact of state and local taxation. Income taxes are emphasized; however, other taxes such as sales and use taxes and property taxes will be discussed. Prerequisite: ACCY 312 or ACCY 505, or equivalent, or consent of the department. Restricted to students enrolled in a graduate accounting degree program."
68,Corporate Income Taxation,4,"Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving corporations and their shareholders; coverage includes formations, operations, distributions, liquidations, reorganizations, and affiliations. Prerequisite: ACCY 312 or ACCY 505, or equivalent, or consent of department."
69,Partnership Income Taxation,4,"Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving partnerships and their partners, including Subchapter S corporations and their shareholders. Prerequisite: ACCY 312 or ACCY 505, or equivalent, or consent of department."
70,International Taxation,2,"Analyzes the tax treatment, issues, planning techniques and underlying government policies involved in doing business internationally. The course incorporates concepts learned in all of the tax courses as they relate to the impact on cross border outbound transactions (i.e., the taxation of US taxpayers doing business abroad). Topics include the source of income, transfer pricing, controlled foreign corporations (CFCs), Subpart F income, foreign tax credits, Global Intangible Low-Taxed Income (GILTI), Base Erosion and Anti-Abuse Tax (BEAT), and Foreign Derived Intangible Income (FDII). While this course focuses heavily on outbound transactions, some inbound rules (i.e., non-US taxpayers doing business in the United States) will be discussed. Prerequisite: Credit or concurrent enrollment in ACCY 505, ACCY 507, or ACCY 551, or equivalent, or consent of the department. Restricted to students enrolled in a graduate accounting degree program."
71,Data Analytics Foundations for Accountancy,2,"Concepts and foundations underlying data analytics for accounting. Provides fundamental knowledge of how to acquire, organize, synthesize and analyze (possibly large) volumes of data to address questions and problems. After completing this course, students should (1) have a foundational understanding of the techniques underlying data analytics, (2) recognize scenarios and identify appropriate tools for various types of data analysis and (3) use Python and Tableau to perform data analysis. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate accounting program or consent of the department."
72,Statistical Analyses for Accountancy,2,"Fundamental knowledge of how to perform statistical analyses useful for leveraging accounting information to solve business problems. After completing this course, students should (1) have a foundational understanding of the statistical analyses underlying data analytics, (2) recognize scenarios and identify appropriate statistical tools for various types of data analysis and (3) use common computer-based tools to perform statistical analyses. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate accounting program or consent of the department."
73,Risk Management and Innovation,4,"Decision making and analytic approaches to help organizations navigate disruptive changes in practices, technology, regulation, and culture to serve stakeholders (customers, employees, investors, the public). Course content focuses on identifying and quantifying risks, and balancing between achieving consistent, measurable outcomes and delivering stakeholder-driven objectives. Cases and experiential learning will emphasize developing tools to translate data into insights, tie these insights into managing stakeholder interests, and communicating these insights to decision makers. Prerequisite: Enrollment in MAS or MSA program."
74,Data Analytics Applications in Accountancy,4,"Develops knowledge regarding the role, methods, and implications of business and data analytics in accounting. Building on prior coursework on the fundamentals of statistical analysis and business/data analytics, this course provides the opportunity to apply related theoretical and practical principles to a variety of accounting scenarios, including audit, tax, fraud identification and detection, financial reporting, and managerial accounting. Prerequisite: ACCY 570."
75,Data Preparation for Accounting,2,"This course focuses on developing Python skills for assembling business data, taught within the context of multiple accounting settings (e.g., financial statement data, stock data, loan data, point-of-sale data, etc.)."
76,Machine Learning for Accounting,2,"This course introduces machine learning algorithms and their applications in accounting problems. It covers classification, regression, clustering, text analysis, time series analysis. It also discusses feature importance and model optimization. Prerequisite: ACCY 576."
77,Accounting Analytics Applications,1,"Develops students’ knowledge regarding the role, methods, and implications of business and data analytics in accounting via real-world applications of fundamental and advanced analytics principles. Application opportunities span multiple areas of accounting, including audit, fraud identification and detection, financial accounting, and managerial accounting. After engaging in this course, students should (1) have a foundational understanding of the role of business / data analytics in accounting and (2) be able to apply this knowledge to real-world clients, business decisions, etc. May be repeated in the same or separate semesters to a maximum of 4 hours. Prerequisite: Some sections require the completion of ACCY 576 (or equivalent), and are denoted as requiring this prerequisite."
78,Special Research Problems,1,"Individual investigations or research projects selected by the students, subject to approval by the graduate adviser and the executive officer of the Department. May be repeated in the same or separate terms. Prerequisite: Enrollment in graduate accounting degree program or consent of department."
79,Doctoral Research Seminar,4,"Seminars in various accounting areas designed to enhance the research abilities of doctoral students and to assist them in preparing research proposals; these include Behavioral Dimensions, Public Sector, Tax, Auditing, Managerial, and others announced in the Class Schedule. May be repeated. Prerequisite: Credit or concurrent registration in ACCY 592 or consent of department."
80,Models of Decision and Choice,4,Same as PS 528 and PSYC 534. See PSYC 534.
81,Introduction to Applied Microeconomics,4,"[IAI Code: AG901] Provides students an introduction to microeconomics by examining such topics as: individual and household decision-making regarding how to spend income and how many hours to work; decision-making by firms about production quantities, how many workers to hire, and what price to charge to maximize profits; the well-being of consumers in competitive markets compared to oligopolies and monopolies; and the role of government when markets fail (e.g., environmental, anti-trust, labor market issues, etc.). Credit is not given toward graduation for: Credit is not given toward graduation for ACE 100 if credit for ECON 102 has been earned."
82,Computer Concepts &amp; Applications,3,"[IAI Code: AG913] Instruction and practice in solving data-related problems using computers and general-purpose software packages within the context of personal finance, food, agriculture, and natural resources."
83,Environmental Economics &amp; Policy,3,"Applies economic tools to analyze environmental problems and public policy formation. We will study human behavior to understand why environmental problems occur and our choice of policy tools to address problems. We will explore and critique current environmental policies in the U.S. and globally in a rigorous and constructive manner and the role of private-sector agents in solving environmental problems. Through this course, you will build your capacity for critical thinking and problem-solving. Same as ECON 210, ENVS 210, NRES 210, and UP 210."
84,Negotiation,2,"This course is an introduction to negotiation, with an emphasis on practical and useful knowledge that students can use throughout their financial lives, including negotiating job offers, auto purchases and sales, and residential purchases and sales. Credit is not given for ACE 221 if credit for ACE 199 NPS has been earned."
85,Food and Agribusiness Mgt,3,"Overview of management in the food and agribusiness sector. Major topics covered include: introduction to the food and agribusiness sector; the environment of the firm; fundamentals, structural design, and change in organizations; leadership, motivation, communication; and planning and control. Coverage is at the introductory level with a focus on textbook material and current issues."
86,Farm Management,3,"Economic principles are applied to the management of farms using budgeting system analysis, record analysis, financial management, and lease analysis. Problems related to resource appraisal and business organization are also addressed."
87,Personal Financial Planning,3,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning."
88,Advanced Personal Finance,3,"Students will obtain practical knowledge and skills applicable to their daily lives, whether at home or in a professional context. Students learn advanced risk management, make informed investment decisions, navigate credit scenarios, retirement and estate planning, and work toward achieving their financial goals. Students will learn about current research on personal finance. The course includes an action learning component, allowing students to educate their peers and the community on advanced personal finance topics. Prerequisite: ACE 240 and a Quantitative Reasoning course."
89,"Women, Money, and Power",2,"Women, Money, and Power will explore and develop money stories, managing money, workplace challenges, career advice, entrepreneurship, and empowerment. The course will present topics in an open and candid atmosphere, challenging historical perspectives and stereotypes about women and money. Students will learn from female financial planning professionals and entrepreneurs about their journeys. Students will leave this course with an understanding of issues women face in the financial world. Credit is not given towards graduation for ACE 242 if credit for ACE 199 AL has been earned."
90,The World Food Economy,3,"Examination of global food production, consumption, and trade; problems of hunger and population; the role of agricultural development, trade, and aid in relieving hunger. Prerequisite: ACE 100 or ECON 102 or consent of instructor."
91,Applied Statistical Methods and Data Analytics I,3,"Statistics is a key tool in the data analysis process involving data collection, description, analysis, and results interpretation. This course discusses how to collect and analyze data using descriptive statistics. Random variables, probability distributions, hypothesis testing, simple linear regression, linear systems, matrices, and the theoretical underpinnings of these concepts are introduced. Emphasis is placed on examples from the field of economics to enhance students’ ability to apply appropriate models to professional and everyday problems. Credit is not given toward graduation for ACE 262 if credit for any of ECON 202, CPSC 241, STAT 100, or equivalent has been earned."
92,Applied Statistical Methods &amp; Data Analytics 2,3,Offers the statistical and econometric tools to describe and understand common economic issues. The emphasis will be on the multiple regression model and its associated extensions regularly used to overcome traditional econometric issues. The course will introduce and use an advanced statistical software for hands-on exercises. No prior experience with the software is expected or required. Credit is not given toward graduation for ACE 264 if credit for ECON 203 or equivalent has been earned. Prerequisite: ACE 262 or equivalent.
93,Consumer Economics,3,Introduction to the study of the consumer in the American economy; sources of consumer information and consumer protection; and examination of current consumer issues within an economic framework. Prerequisite: ACE 100 or ECON 102.
